City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,sur,22.57,59.53,69.33,51,0,12.21,OM,1581791674
342,solnechnyy,50.72,136.63,-5.08,79,0,3.74,RU,1581791675
343,larsnes,62.2,5.58,46.0,45,100,18.34,NO,1581791675
344,paratinga,-12.69,-43.18,82.4,65,75,12.75,BR,1581791675
345,atikokan,48.76,-91.62,24.04,82,100,12.93,CA,1581791675
346,sangerhausen,51.47,11.3,46.99,70,33,10.29,DE,1581791675
347,sandy bay,-42.91,147.35,55.4,62,90,8.05,AU,1581791675
348,newtownards,54.59,-5.69,46.4,81,100,19.46,GB,1581791543
349,xihe,31.69,113.47,28.47,81,93,4.41,CN,1581791676
350,leo,11.1,-2.1,87.33,4,0,6.51,BF,1581791676
351,two rivers,44.15,-87.57,30.2,63,90,19.46,US,1581791677
352,hirara,24.8,125.28,74.7,83,42,17.83,JP,1581791677
353,ekibastuz,51.67,75.37,11.07,83,77,6.76,KZ,1581791636
354,abha,18.22,42.51,62.6,51,0,13.87,SA,1581791677
355,gombong,-7.61,109.51,75.49,91,91,1.66,ID,1581791677
356,zlatoust,55.17,59.65,12.34,96,86,2.33,RU,1581791677
357,ilulissat,69.22,-51.1,8.6,60,75,2.24,GL,1581791678
358,ixtapa,20.7,-105.2,77.0,65,90,5.82,MX,1581791678
359,egvekinot,66.32,-179.17,-13.18,89,100,17.0,RU,1581791678
360,hambantota,6.12,81.12,79.77,78,17,16.06,LK,1581791678
361,yanji,42.91,129.51,17.98,94,100,6.13,CN,1581791678
362,warri,5.52,5.75,87.55,48,84,10.42,NG,1581791678
363,bilma,18.69,12.92,72.75,11,100,6.38,NE,1581791679
364,swellendam,-34.02,20.44,71.6,83,19,5.82,ZA,1581791679
365,laje,-10.18,-40.97,82.69,56,100,9.73,BR,1581791679
366,rio verde de mato grosso,-18.92,-54.84,87.44,63,39,6.51,BR,1581791679
367,topeka,39.05,-95.68,44.01,69,20,4.7,US,1581791445
368,hit,33.64,42.83,52.45,37,96,2.64,IQ,1581791680
369,nishihara,26.18,127.76,73.4,94,75,17.22,JP,1581791401
370,vadso,70.07,29.75,8.6,92,40,6.93,NO,1581791680
371,littleton,39.61,-105.02,41.0,37,1,10.29,US,1581791510
372,wattegama,6.8,81.48,70.92,93,4,3.06,LK,1581791681
373,lompoc,34.64,-120.46,62.01,87,40,8.3,US,1581791681
374,smidovich,48.6,133.82,-7.17,98,20,8.34,RU,1581791681
375,geraldton,-28.77,114.6,71.6,73,90,11.41,AU,1581791681
376,springfield,37.22,-93.3,53.6,36,40,19.46,US,1581791431
377,herat,34.5,62.0,37.4,55,75,3.36,AF,1581791681
378,berlevag,70.86,29.09,25.32,74,0,18.54,NO,1581791682
379,batagay-alyta,67.8,130.41,-7.47,78,60,6.89,RU,1581791682
380,fortuna,40.6,-124.16,51.01,87,20,3.36,US,1581791682
381,barcelos,41.54,-8.62,59.0,77,75,12.75,PT,1581791651
382,cherskiy,68.75,161.3,-33.74,100,100,2.37,RU,1581791683
383,budhlada,29.93,75.57,55.17,27,0,3.18,IN,1581791683
384,grand gaube,-20.01,57.66,80.6,78,40,14.99,MU,1581791683
